drug_name,conc,ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
quinidine,3237,47970,0.6301,NA,NA,NA,NA,15950,1.135,8589,1.527,NA,NA,363.8,1.109
quinidine,3237,97820,0.5081,NA,NA,NA,NA,11330,1.553,9542,1.291,NA,NA,321.9,1.082
quinidine,3237,53220,0.7273,NA,NA,NA,NA,13290,1.256,9700,1.268,NA,NA,431.6,1.732
quinidine,3237,21330,0.9093,NA,NA,NA,NA,13630,1.365,8598,1.404,NA,NA,285,0.9947
quinidine,3237,31140,0.7672,NA,NA,NA,NA,11830,1.434,7960,1.521,NA,NA,422.6,1.397
quinidine,3237,37480,0.641,NA,NA,NA,NA,10690,1.651,10630,1.132,NA,NA,265.3,1.035
quinidine,3237,81190,0.4829,NA,NA,NA,NA,9903,1.905,11870,1.111,NA,NA,305.1,0.8468
quinidine,3237,85100,0.4932,NA,NA,NA,NA,12560,1.503,8143,1.333,NA,NA,488.5,1.285
quinidine,3237,68910,0.55,NA,NA,NA,NA,13520,1.472,9496,1.328,NA,NA,367.1,1.137
quinidine,3237,53320,0.6096,NA,NA,NA,NA,12130,1.594,9870,1.191,NA,NA,391.2,1.485
quinidine,3237,53480,0.6126,NA,NA,NA,NA,9658,1.74,8709,1.418,NA,NA,284.6,0.9344
quinidine,3237,61750,0.5431,NA,NA,NA,NA,18730,1.051,9555,1.258,NA,NA,332.8,1.334
quinidine,3237,50720,0.566,NA,NA,NA,NA,8909,2.127,8958,1.448,NA,NA,374.8,1.178
quinidine,3237,66430,0.5408,NA,NA,NA,NA,12700,1.55,8394,1.453,NA,NA,379.3,1.002
quinidine,3237,62250,0.5383,NA,NA,NA,NA,14120,1.244,9857,1.366,NA,NA,340.8,1.373
quinidine,3237,137700,0.4434,NA,NA,NA,NA,10070,1.908,8843,1.456,NA,NA,384.6,1.197
quinidine,3237,47350,0.6006,NA,NA,NA,NA,13000,1.658,9211,1.306,NA,NA,287.6,1.018
quinidine,3237,43800,0.6087,NA,NA,NA,NA,23580,1.041,8376,1.475,NA,NA,410.2,1.063
quinidine,3237,39380,0.6548,NA,NA,NA,NA,11170,1.743,9224,1.362,NA,NA,353.6,1.089
quinidine,3237,67600,0.5312,NA,NA,NA,NA,12760,1.465,7876,1.671,NA,NA,314.6,0.8644
quinidine,3237,24430,0.7671,NA,NA,NA,NA,14770,1.392,9264,1.479,NA,NA,410.6,1.038
quinidine,3237,38640,0.6802,NA,NA,NA,NA,14010,1.339,8902,1.408,NA,NA,377.1,1.132
quinidine,3237,66610,0.5339,NA,NA,NA,NA,15110,1.353,10410,1.146,NA,NA,312.9,0.9645
quinidine,3237,53490,0.5726,NA,NA,NA,NA,9179,2.187,10070,1.261,NA,NA,298.8,0.7565
quinidine,3237,75540,0.5098,NA,NA,NA,NA,9881,1.876,9657,1.213,NA,NA,300.3,0.9224
quinidine,3237,43730,0.6312,NA,NA,NA,NA,12670,1.547,9548,1.309,NA,NA,291.4,0.9627
quinidine,3237,57810,0.587,NA,NA,NA,NA,13560,1.409,9058,1.483,NA,NA,392.7,1.37
quinidine,3237,41360,0.6435,NA,NA,NA,NA,13480,1.361,9276,1.496,NA,NA,325.5,1.047
quinidine,3237,42030,0.6274,NA,NA,NA,NA,12790,1.564,9605,1.523,NA,NA,395.8,1.512
quinidine,3237,52200,0.6241,NA,NA,NA,NA,9546,1.697,11620,1.18,NA,NA,459.7,1.034
quinidine,3237,77650,0.5392,NA,NA,NA,NA,15200,1.286,10150,1.325,NA,NA,355.1,1.158
quinidine,3237,46490,0.636,NA,NA,NA,NA,8926,2.527,8739,1.471,NA,NA,375.7,1.18
quinidine,3237,62040,0.5544,NA,NA,NA,NA,9487,2.382,10490,1.231,NA,NA,300.7,0.9052
quinidine,3237,58820,0.5544,NA,NA,NA,NA,9207,2.159,10350,1.192,NA,NA,434,0.9765
quinidine,3237,52950,0.6169,NA,NA,NA,NA,26900,0.8661,8053,1.618,NA,NA,415,1.24
quinidine,3237,66980,0.5335,NA,NA,NA,NA,19490,1.112,9615,1.365,NA,NA,274.2,0.7816
quinidine,3237,58560,0.5739,NA,NA,NA,NA,22250,0.9302,9361,1.424,NA,NA,324.3,1.139
quinidine,3237,74190,0.5275,NA,NA,NA,NA,10490,1.665,8373,1.498,NA,NA,385.6,1.141
quinidine,3237,67220,0.5409,NA,NA,NA,NA,12100,1.545,9337,1.311,NA,NA,322.4,1.099
