V,CaMKt,cass,nai,nass,ki,kss,cansr,cajsr,cai,m,hf,hs,j,hsp,jp,mL,hL,hLp,a,iF,iS,ap,iFp,iSp,d,ff,fs,fcaf,fcas,jca,ffp,fcafp,nca,xrf,xrs,xs1,xs2,xk1,Jrelnp,Jrelp
-87.966059,0.003169,0.000072,6.393391,6.393449,145.265167,145.265151,1.355673,1.355948,0.000073,0.007371,0.696865,0.696865,0.696864,0.453554,0.696863,0.00019,0.511765,0.305873,0.001004,0.999551,0.867339,0.000511,0.999551,0.901304,0,1,0.968762,1,1,1,1,1,0.001453,0.000008,0.165956,0.139824,0.000194,0.996769,0,0
-87.966017,0.00317,0.000072,6.393126,6.393184,145.265161,145.265145,1.355842,1.356118,0.000073,0.007371,0.696863,0.696863,0.696862,0.453552,0.696862,0.00019,0.511763,0.305854,0.001004,0.999551,0.867256,0.000511,0.999551,0.901225,0,1,0.968701,1,1,1,1,1,0.001454,0.000008,0.166045,0.140027,0.000194,0.996769,0,0
-87.966053,0.003169,0.000072,6.393336,6.393393,145.265178,145.265162,1.3557,1.355976,0.000073,0.007371,0.696864,0.696864,0.696863,0.453554,0.696863,0.00019,0.511765,0.30587,0.001004,0.999551,0.867325,0.000511,0.999551,0.901291,0,1,0.968752,1,1,1,1,1,0.001454,0.000008,0.165971,0.139858,0.000194,0.996769,0,0
-87.966066,0.003168,0.000072,6.393436,6.393494,145.265171,145.265155,1.355642,1.355918,0.000073,0.007371,0.696865,0.696865,0.696864,0.453554,0.696863,0.00019,0.511765,0.305877,0.001004,0.999551,0.867354,0.000511,0.999551,0.901318,0,1,0.968773,1,1,1,1,1,0.001453,0.000008,0.16594,0.139788,0.000194,0.996769,0,0
-87.966054,0.003169,0.000072,6.393355,6.393413,145.26517,145.265154,1.355693,1.355969,0.000073,0.007371,0.696864,0.696864,0.696864,0.453554,0.696863,0.00019,0.511765,0.305871,0.001004,0.999551,0.867329,0.000511,0.999551,0.901294,0,1,0.968755,1,1,1,1,1,0.001453,0.000008,0.165967,0.139848,0.000194,0.996769,0,0
-87.966033,0.00317,0.000072,6.393217,6.393275,145.265169,145.265153,1.35578,1.356056,0.000073,0.007371,0.696864,0.696864,0.696863,0.453553,0.696862,0.00019,0.511764,0.305861,0.001004,0.999551,0.867286,0.000511,0.999551,0.901254,0,1,0.968723,1,1,1,1,1,0.001454,0.000008,0.166013,0.139953,0.000194,0.996769,0,0
-87.966066,0.003168,0.000072,6.39344,6.393497,145.265168,145.265152,1.355641,1.355917,0.000073,0.007371,0.696865,0.696865,0.696864,0.453554,0.696863,0.00019,0.511765,0.305877,0.001004,0.999551,0.867354,0.000511,0.999551,0.901318,0,1,0.968773,1,1,1,1,1,0.001453,0.000008,0.16594,0.139787,0.000194,0.996769,0,0
-87.966065,0.003168,0.000072,6.393429,6.393487,145.265168,145.265152,1.355648,1.355924,0.000073,0.007371,0.696865,0.696865,0.696864,0.453554,0.696863,0.00019,0.511765,0.305876,0.001004,0.999551,0.867351,0.000511,0.999551,0.901315,0,1,0.968771,1,1,1,1,1,0.001453,0.000008,0.165943,0.139795,0.000194,0.996769,0,0
-87.966066,0.003168,0.000072,6.393437,6.393495,145.265171,145.265154,1.355641,1.355917,0.000073,0.007371,0.696865,0.696865,0.696864,0.453554,0.696863,0.00019,0.511765,0.305877,0.001004,0.999551,0.867354,0.000511,0.999551,0.901318,0,1,0.968773,1,1,1,1,1,0.001453,0.000008,0.16594,0.139787,0.000194,0.996769,0,0
-87.966059,0.003169,0.000072,6.393392,6.39345,145.265167,145.265151,1.355672,1.355948,0.000073,0.007371,0.696865,0.696865,0.696864,0.453554,0.696863,0.00019,0.511765,0.305873,0.001004,0.999551,0.867339,0.000511,0.999551,0.901304,0,1,0.968762,1,1,1,1,1,0.001453,0.000008,0.165956,0.139824,0.000194,0.996769,0,0
-87.966057,0.003169,0.000072,6.393368,6.393426,145.265178,145.265161,1.35568,1.355956,0.000073,0.007371,0.696865,0.696864,0.696864,0.453554,0.696863,0.00019,0.511765,0.305872,0.001004,0.999551,0.867335,0.000511,0.999551,0.9013,0,1,0.968759,1,1,1,1,1,0.001453,0.000008,0.16596,0.139834,0.000194,0.996769,0,0
-87.966081,0.003168,0.000072,6.393333,6.393391,145.265301,145.265285,1.355623,1.355899,0.000073,0.007371,0.696865,0.696865,0.696864,0.453555,0.696864,0.00019,0.511766,0.305879,0.001004,0.999551,0.867362,0.000511,0.999551,0.901326,0,1,0.96878,1,1,1,1,1,0.001453,0.000008,0.165931,0.139765,0.000194,0.996769,0,0
-87.966067,0.003168,0.000072,6.393444,6.393501,145.26517,145.265154,1.355638,1.355914,0.000073,0.007371,0.696865,0.696865,0.696864,0.453554,0.696863,0.00019,0.511765,0.305877,0.001004,0.999551,0.867356,0.000511,0.999551,0.90132,0,1,0.968774,1,1,1,1,1,0.001453,0.000008,0.165938,0.139783,0.000194,0.996769,0,0
-87.966063,0.003168,0.000072,6.393404,6.393462,145.265176,145.265159,1.355659,1.355935,0.000073,0.007371,0.696865,0.696865,0.696864,0.453554,0.696863,0.00019,0.511765,0.305875,0.001004,0.999551,0.867346,0.000511,0.999551,0.90131,0,1,0.968767,1,1,1,1,1,0.001453,0.000008,0.165949,0.139808,0.000194,0.996769,0,0
-87.966069,0.003168,0.000072,6.393438,6.393495,145.265181,145.265164,1.355635,1.355911,0.000073,0.007371,0.696865,0.696865,0.696864,0.453554,0.696863,0.00019,0.511765,0.305878,0.001004,0.999551,0.867357,0.000511,0.999551,0.901321,0,1,0.968775,1,1,1,1,1,0.001453,0.000008,0.165936,0.139779,0.000194,0.996769,0,0
-87.966064,0.003168,0.000072,6.393425,6.393483,145.265169,145.265152,1.35565,1.355926,0.000073,0.007371,0.696865,0.696865,0.696864,0.453554,0.696863,0.00019,0.511765,0.305876,0.001004,0.999551,0.86735,0.000511,0.999551,0.901314,0,1,0.96877,1,1,1,1,1,0.001453,0.000008,0.165945,0.139798,0.000194,0.996769,0,0
-87.966064,0.003168,0.000072,6.393425,6.393483,145.265168,145.265152,1.355651,1.355926,0.000073,0.007371,0.696865,0.696865,0.696864,0.453554,0.696863,0.00019,0.511765,0.305876,0.001004,0.999551,0.86735,0.000511,0.999551,0.901314,0,1,0.96877,1,1,1,1,1,0.001453,0.000008,0.165945,0.139798,0.000194,0.996769,0,0
-87.96606,0.003169,0.000072,6.393395,6.393453,145.26517,145.265153,1.355669,1.355944,0.000073,0.007371,0.696865,0.696865,0.696864,0.453554,0.696863,0.00019,0.511765,0.305874,0.001004,0.999551,0.867341,0.000511,0.999551,0.901305,0,1,0.968763,1,1,1,1,1,0.001453,0.000008,0.165954,0.139819,0.000194,0.996769,0,0
-87.966066,0.003168,0.000072,6.393414,6.393471,145.265186,145.265169,1.355647,1.355922,0.000073,0.007371,0.696865,0.696865,0.696864,0.453554,0.696863,0.00019,0.511765,0.305876,0.001004,0.999551,0.867352,0.000511,0.999551,0.901315,0,1,0.968771,1,1,1,1,1,0.001453,0.000008,0.165943,0.139793,0.000194,0.996769,0,0
-87.966063,0.003168,0.000072,6.393416,6.393473,145.265169,145.265152,1.355656,1.355932,0.000073,0.007371,0.696865,0.696865,0.696864,0.453554,0.696863,0.00019,0.511765,0.305875,0.001004,0.999551,0.867347,0.000511,0.999551,0.901311,0,1,0.968768,1,1,1,1,1,0.001453,0.000008,0.165948,0.139805,0.000194,0.996769,0,0
-87.966063,0.003168,0.000072,6.39342,6.393478,145.265169,145.265152,1.355654,1.35593,0.000073,0.007371,0.696865,0.696865,0.696864,0.453554,0.696863,0.00019,0.511765,0.305875,0.001004,0.999551,0.867348,0.000511,0.999551,0.901312,0,1,0.968769,1,1,1,1,1,0.001453,0.000008,0.165946,0.139802,0.000194,0.996769,0,0
