V,CaMKt,cass,nai,nass,ki,kss,cansr,cajsr,cai,m,hf,hs,j,hsp,jp,mL,hL,hLp,a,iF,iS,ap,iFp,iSp,d,ff,fs,fcaf,fcas,jca,ffp,fcafp,nca,xrf,xrs,xs1,xs2,xk1,Jrelnp,Jrelp,
-87.975277,0.018076,0.000072,6.866927,6.866990,145.006289,145.006266,1.568235,1.491302,0.000073,0.007364,0.697184,0.697182,0.697162,0.453920,0.697063,0.000189,0.442068,0.185721,0.001003,0.999552,0.401478,0.000511,0.999552,0.437154,0.000000,1.000000,0.804327,1.000000,0.997834,0.999606,1.000000,1.000000,0.001429,0.000081,0.620437,0.411466,0.000193,0.996766,0.000000,0.000000,0.019802
-87.973497,0.018664,0.000072,6.878631,6.878694,144.988406,144.988383,1.577826,1.497778,0.000073,0.007365,0.697123,0.697120,0.697098,0.453847,0.696985,0.000189,0.439580,0.183476,0.001003,0.999552,0.397012,0.000511,0.999552,0.432236,0.000000,1.000000,0.801644,1.000000,0.997737,0.999584,1.000000,1.000000,0.001439,0.000092,0.624334,0.414229,0.000193,0.996767,0.000000,0.000000,0.021175
-87.977720,0.020785,0.000071,6.864950,6.865012,145.009140,145.009117,1.570481,1.469685,0.000072,0.007362,0.697269,0.697265,0.697221,0.454011,0.696865,0.000189,0.415921,0.164072,0.001003,0.999552,0.359145,0.000511,0.999552,0.390346,0.000000,1.000000,0.788767,1.000000,0.997057,0.999418,1.000000,1.000000,0.001370,0.000273,0.657009,0.419381,0.000194,0.996766,0.000000,0.000000,0.019640
-87.976767,0.017380,0.000072,6.856212,6.856275,145.021023,145.021001,1.558461,1.485208,0.000073,0.007363,0.697236,0.697234,0.697216,0.453981,0.697133,0.000189,0.445117,0.188546,0.001003,0.999552,0.407047,0.000511,0.999552,0.443294,0.000000,1.000000,0.807032,1.000000,0.997931,0.999627,1.000000,1.000000,0.001424,0.000069,0.615521,0.409454,0.000193,0.996766,0.000000,0.000000,0.019098
-87.978579,0.018585,0.000071,6.841357,6.841420,145.034194,145.034172,1.560611,1.477175,0.000072,0.007361,0.697299,0.697296,0.697271,0.454052,0.697116,0.000189,0.433647,0.178235,0.001003,0.999552,0.386710,0.000511,0.999552,0.420863,0.000000,1.000000,0.799143,1.000000,0.997586,0.999548,1.000000,1.000000,0.001395,0.000123,0.633206,0.414385,0.000193,0.996766,0.000000,0.000000,0.019594
-87.975990,0.018099,0.000071,6.868449,6.868512,145.005495,145.005472,1.562997,1.484159,0.000073,0.007363,0.697209,0.697207,0.697185,0.453948,0.697070,0.000189,0.439152,0.183070,0.001003,0.999552,0.396083,0.000511,0.999552,0.431243,0.000000,1.000000,0.801433,1.000000,0.997714,0.999578,1.000000,1.000000,0.001416,0.000094,0.625045,0.414096,0.000193,0.996766,0.000000,0.000000,0.019900
-87.971616,0.017360,0.000072,6.906111,6.906175,144.968178,144.968156,1.581684,1.512880,0.000074,0.007367,0.697057,0.697056,0.697041,0.453773,0.696987,0.000189,0.452443,0.195783,0.001003,0.999552,0.421402,0.000511,0.999552,0.459079,0.000000,1.000000,0.810741,1.000000,0.998115,0.999667,1.000000,1.000000,0.001493,0.000046,0.602986,0.409247,0.000193,0.996767,0.000000,0.000000,0.018367
-87.976313,0.018120,0.000072,6.853067,6.853130,145.020043,145.020021,1.567312,1.489823,0.000073,0.007363,0.697220,0.697218,0.697198,0.453962,0.697094,0.000189,0.441288,0.184997,0.001003,0.999552,0.400102,0.000511,0.999552,0.435622,0.000000,1.000000,0.804301,1.000000,0.997824,0.999604,1.000000,1.000000,0.001425,0.000084,0.621640,0.411265,0.000193,0.996766,0.000000,0.000000,0.019896
-87.975232,0.018368,0.000072,6.873795,6.873858,145.000637,145.000614,1.568073,1.488696,0.000073,0.007364,0.697183,0.697180,0.697159,0.453917,0.697045,0.000189,0.439432,0.183328,0.001003,0.999552,0.396714,0.000511,0.999552,0.431915,0.000000,1.000000,0.802287,1.000000,0.997749,0.999588,1.000000,1.000000,0.001420,0.000092,0.624585,0.412542,0.000193,0.996766,0.000000,0.000000,0.019460
-87.978961,0.019425,0.000071,6.856335,6.856396,145.023457,145.023435,1.558193,1.466680,0.000072,0.007361,0.697312,0.697309,0.697275,0.454065,0.697034,0.000189,0.424561,0.170742,0.001003,0.999552,0.371992,0.000511,0.999552,0.404611,0.000000,1.000000,0.793476,1.000000,0.997303,0.999481,1.000000,1.000000,0.001369,0.000189,0.645906,0.416737,0.000193,0.996765,0.000000,0.000000,0.018501
