Time,Vm,dVm/dt,Cai,INa,INaL,ICaL,IKs,IKr,IK1,Ito,Tension
1000.000000,-88.045242,0.000039,0.000067,-0.000001,-0.000424,-0.000000,-0.000000,0.000034,0.263050,0.000231,0.052389
1000.001000,-88.045242,0.000039,0.000067,-0.000001,-0.000424,-0.000000,-0.000000,0.000034,0.263050,0.000231,0.052389
1001.000000,-88.045203,0.000039,0.000067,-0.000001,-0.000424,-0.000000,-0.000000,0.000034,0.263056,0.000231,0.052392
1001.001000,-88.045203,0.000039,0.000067,-0.000001,-0.000424,-0.000000,-0.000000,0.000034,0.263056,0.000231,0.052392
1002.000000,-88.045164,0.000039,0.000067,-0.000001,-0.000424,-0.000000,-0.000000,0.000034,0.263062,0.000231,0.052395
1002.001000,-88.045164,0.000039,0.000067,-0.000001,-0.000424,-0.000000,-0.000000,0.000034,0.263062,0.000231,0.052395
1003.000000,-88.045125,0.000039,0.000067,-0.000001,-0.000424,-0.000000,-0.000000,0.000034,0.263067,0.000231,0.052398
1003.001000,-88.045125,0.000039,0.000067,-0.000001,-0.000424,-0.000000,-0.000000,0.000034,0.263067,0.000231,0.052398
1004.000000,-88.045086,0.000039,0.000067,-0.000001,-0.000424,-0.000000,-0.000000,0.000033,0.263073,0.000231,0.052401
1004.001000,-88.045086,0.000039,0.000067,-0.000001,-0.000424,-0.000000,-0.000000,0.000033,0.263073,0.000231,0.052401
1005.000000,-88.045046,0.000039,0.000067,-0.000001,-0.000424,-0.000000,-0.000000,0.000033,0.263078,0.000231,0.052404
1005.001000,-88.045046,0.000039,0.000067,-0.000001,-0.000424,-0.000000,-0.000000,0.000033,0.263078,0.000231,0.052404
1006.000000,-88.045007,0.000039,0.000067,-0.000001,-0.000425,-0.000000,-0.000000,0.000033,0.263084,0.000231,0.052407
1006.001000,-88.045007,0.000039,0.000067,-0.000001,-0.000425,-0.000000,-0.000000,0.000033,0.263084,0.000231,0.052407
1007.000000,-88.044968,0.000039,0.000067,-0.000001,-0.000425,-0.000000,-0.000000,0.000033,0.263090,0.000231,0.052411
1007.001000,-88.044968,0.000039,0.000067,-0.000001,-0.000425,-0.000000,-0.000000,0.000033,0.263090,0.000231,0.052411
1008.000000,-88.044928,0.000039,0.000067,-0.000001,-0.000425,-0.000000,-0.000000,0.000033,0.263095,0.000231,0.052414
1008.001000,-88.044928,0.000039,0.000067,-0.000001,-0.000425,-0.000000,-0.000000,0.000033,0.263095,0.000231,0.052414
1009.000000,-88.044889,0.000039,0.000067,-0.000001,-0.000425,-0.000000,-0.000000,0.000032,0.263101,0.000231,0.052417
1009.001000,-88.044889,0.000039,0.000067,-0.000001,-0.000425,-0.000000,-0.000000,0.000032,0.263101,0.000231,0.052417
1010.000000,-88.044850,0.000039,0.000067,-0.000001,-0.000425,-0.000000,-0.000000,0.000032,0.263107,0.000231,0.052421
1010.001000,-87.991849,53.000039,0.000067,-0.000001,-0.000425,-0.000000,-0.000000,0.000032,0.263107,0.000231,0.052421
1011.000000,16.403847,280.799719,0.000067,-228.088206,-0.800405,-0.448119,0.000009,0.002092,0.000022,0.232697,0.052424
1011.001000,16.629660,225.812563,0.000067,-226.113391,-0.797697,-0.452935,0.000009,0.002098,0.000021,0.236563,0.052424
1012.000000,36.344551,-4.329745,0.000068,-0.005783,-0.574183,-2.552974,0.000127,0.010012,0.000001,5.082736,0.052428
1012.001000,36.340220,-4.330903,0.000068,-0.005725,-0.574232,-2.554351,0.000127,0.010028,0.000001,5.085349,0.052428
